figure_id,figure_group_code,figure_group_id,figure_group_label,case_id,phase_or_track,model_name,run_type,date_token,scenario_id,figure_slug,relative_path,filename,generation_mode,ready_for_panel_presentation,provisional_context,source_paths,notes
case_mindoro_retro_2023__phase3b_reinit_primary__observation__forecast_vs_observation_overlay__2023_03_13_to_2023_03_14__seed_vs_target,D,mindoro_primary_validation_overlays,Mindoro March 13 -> March 14 primary-validation overlays,CASE_MINDORO_RETRO_2023,phase3b_reinit_primary,observation,forecast_vs_observation_overlay,2023-03-13_to_2023-03-14,,seed_vs_target,output/trajectory_gallery/case_mindoro_retro_2023__phase3b_reinit_primary__observation__forecast_vs_observation_overlay__2023_03_13_to_2023_03_14__seed_vs_target.png,case_mindoro_retro_2023__phase3b_reinit_primary__observation__forecast_vs_observation_overlay__2023_03_13_to_2023_03_14__seed_vs_target.png,copied_existing_qa,True,Mindoro transport visuals reflect a scientifically usable but not yet frozen Phase 2 transport framework.,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/qa_march13_seed_vs_march14_target.png,Promoted March 13 seed-versus-March 14 target figure reused as a panel-ready gallery figure.
case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__forecast_vs_observation_overlay__2023_03_14__r1_previous_overlay,D,mindoro_primary_validation_overlays,Mindoro March 13 -> March 14 primary-validation overlays,CASE_MINDORO_RETRO_2023,phase3b_reinit_primary,opendrift,forecast_vs_observation_overlay,2023-03-14,,r1_previous_overlay,output/trajectory_gallery/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__forecast_vs_observation_overlay__2023_03_14__r1_previous_overlay.png,case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__forecast_vs_observation_overlay__2023_03_14__r1_previous_overlay.png,copied_existing_qa,True,Mindoro transport visuals reflect a scientifically usable but not yet frozen Phase 2 transport framework.,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/qa_march14_reinit_R1_previous_overlay.png,Promoted March 14 R1 previous reinit overlay reused from the completed reinit QA bundle.
case_mindoro_retro_2023__phase4__openoil__oil_budget_summary__2023_03_03_to_2023_03_06__all_scenarios__mass_budget_comparison,I,mindoro_phase4_oil_budget_figures,Mindoro Phase 4 oil-budget figures,CASE_MINDORO_RETRO_2023,phase4,openoil,oil_budget_summary,2023-03-03_to_2023-03-06,all_scenarios,mass_budget_comparison,output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__oil_budget_summary__2023_03_03_to_2023_03_06__all_scenarios__mass_budget_comparison.png,case_mindoro_retro_2023__phase4__openoil__oil_budget_summary__2023_03_03_to_2023_03_06__all_scenarios__mass_budget_comparison.png,copied_existing_qa,True,"Mindoro Phase 4 is scientifically reportable, but inherited-provisional from the unfinished Phase 1/2 freeze story.",output/phase4/CASE_MINDORO_RETRO_2023/mass_budget_comparison.png,Existing Mindoro Phase 4 mass-budget comparison figure reused from the stored Phase 4 bundle.
case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__fixed_base_medium_heavy_proxy__mass_budget_timeseries,I,mindoro_phase4_oil_budget_figures,Mindoro Phase 4 oil-budget figures,CASE_MINDORO_RETRO_2023,phase4,openoil,oil_budget_timeseries,2023-03-03_to_2023-03-06,fixed_base_medium_heavy_proxy,mass_budget_timeseries,output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__fixed_base_medium_heavy_proxy__mass_budget_timeseries.png,case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__fixed_base_medium_heavy_proxy__mass_budget_timeseries.png,copied_existing_qa,True,"Mindoro Phase 4 is scientifically reportable, but inherited-provisional from the unfinished Phase 1/2 freeze story.",output/phase4/CASE_MINDORO_RETRO_2023/mass_budget_fixed_base_medium_heavy_proxy.png,Existing scenario-specific Phase 4 mass-budget figure reused from the stored Phase 4 outputs.
case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__heavier_oil__mass_budget_timeseries,I,mindoro_phase4_oil_budget_figures,Mindoro Phase 4 oil-budget figures,CASE_MINDORO_RETRO_2023,phase4,openoil,oil_budget_timeseries,2023-03-03_to_2023-03-06,heavier_oil,mass_budget_timeseries,output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__heavier_oil__mass_budget_timeseries.png,case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__heavier_oil__mass_budget_timeseries.png,copied_existing_qa,True,"Mindoro Phase 4 is scientifically reportable, but inherited-provisional from the unfinished Phase 1/2 freeze story.",output/phase4/CASE_MINDORO_RETRO_2023/mass_budget_heavier_oil.png,Existing scenario-specific Phase 4 mass-budget figure reused from the stored Phase 4 outputs.
case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__lighter_oil__mass_budget_timeseries,I,mindoro_phase4_oil_budget_figures,Mindoro Phase 4 oil-budget figures,CASE_MINDORO_RETRO_2023,phase4,openoil,oil_budget_timeseries,2023-03-03_to_2023-03-06,lighter_oil,mass_budget_timeseries,output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__lighter_oil__mass_budget_timeseries.png,case_mindoro_retro_2023__phase4__openoil__oil_budget_timeseries__2023_03_03_to_2023_03_06__lighter_oil__mass_budget_timeseries.png,copied_existing_qa,True,"Mindoro Phase 4 is scientifically reportable, but inherited-provisional from the unfinished Phase 1/2 freeze story.",output/phase4/CASE_MINDORO_RETRO_2023/mass_budget_lighter_oil.png,Existing scenario-specific Phase 4 mass-budget figure reused from the stored Phase 4 outputs.
case_mindoro_retro_2023__phase4__openoil__oil_type_comparison__2023_03_03_to_2023_03_06__all_scenarios__oiltype_comparison,I,mindoro_phase4_oil_budget_figures,Mindoro Phase 4 oil-budget figures,CASE_MINDORO_RETRO_2023,phase4,openoil,oil_type_comparison,2023-03-03_to_2023-03-06,all_scenarios,oiltype_comparison,output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__oil_type_comparison__2023_03_03_to_2023_03_06__all_scenarios__oiltype_comparison.png,case_mindoro_retro_2023__phase4__openoil__oil_type_comparison__2023_03_03_to_2023_03_06__all_scenarios__oiltype_comparison.png,copied_existing_qa,True,"Mindoro Phase 4 is scientifically reportable, but inherited-provisional from the unfinished Phase 1/2 freeze story.",output/phase4/CASE_MINDORO_RETRO_2023/qa_phase4_oiltype_comparison.png,Existing Mindoro Phase 4 oil-type comparison QA figure reused from the stored Phase 4 bundle.
case_mindoro_retro_2023__phase4__openoil__shoreline_arrival_summary__2023_03_03_to_2023_03_06__all_scenarios__scenario_arrival_bars,J,mindoro_phase4_shoreline_impact_figures,Mindoro Phase 4 shoreline-arrival / shoreline-segment impact figures,CASE_MINDORO_RETRO_2023,phase4,openoil,shoreline_arrival_summary,2023-03-03_to_2023-03-06,all_scenarios,scenario_arrival_bars,output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__shoreline_arrival_summary__2023_03_03_to_2023_03_06__all_scenarios__scenario_arrival_bars.png,case_mindoro_retro_2023__phase4__openoil__shoreline_arrival_summary__2023_03_03_to_2023_03_06__all_scenarios__scenario_arrival_bars.png,generated_from_existing_phase4_csv,True,"Mindoro Phase 4 is scientifically reportable, but inherited-provisional from the unfinished Phase 1/2 freeze story.",output/phase4/CASE_MINDORO_RETRO_2023/phase4_shoreline_arrival.csv,Generated from the stored Mindoro Phase 4 shoreline arrival summary without rerunning the weathering workflow.
case_mindoro_retro_2023__phase4__openoil__shoreline_impact_summary__2023_03_03_to_2023_03_06__all_scenarios__shoreline_impacts,J,mindoro_phase4_shoreline_impact_figures,Mindoro Phase 4 shoreline-arrival / shoreline-segment impact figures,CASE_MINDORO_RETRO_2023,phase4,openoil,shoreline_impact_summary,2023-03-03_to_2023-03-06,all_scenarios,shoreline_impacts,output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__shoreline_impact_summary__2023_03_03_to_2023_03_06__all_scenarios__shoreline_impacts.png,case_mindoro_retro_2023__phase4__openoil__shoreline_impact_summary__2023_03_03_to_2023_03_06__all_scenarios__shoreline_impacts.png,copied_existing_qa,True,"Mindoro Phase 4 is scientifically reportable, but inherited-provisional from the unfinished Phase 1/2 freeze story.",output/phase4/CASE_MINDORO_RETRO_2023/qa_phase4_shoreline_impacts.png,Existing Mindoro Phase 4 shoreline impact QA figure reused from the stored Phase 4 bundle.
case_mindoro_retro_2023__phase4__openoil__shoreline_segment_impact_map__2023_03_03_to_2023_03_06__all_scenarios__segment_midpoint_impacts,J,mindoro_phase4_shoreline_impact_figures,Mindoro Phase 4 shoreline-arrival / shoreline-segment impact figures,CASE_MINDORO_RETRO_2023,phase4,openoil,shoreline_segment_impact_map,2023-03-03_to_2023-03-06,all_scenarios,segment_midpoint_impacts,output/trajectory_gallery/case_mindoro_retro_2023__phase4__openoil__shoreline_segment_impact_map__2023_03_03_to_2023_03_06__all_scenarios__segment_midpoint_impacts.png,case_mindoro_retro_2023__phase4__openoil__shoreline_segment_impact_map__2023_03_03_to_2023_03_06__all_scenarios__segment_midpoint_impacts.png,generated_from_existing_phase4_csv,True,"Mindoro Phase 4 is scientifically reportable, but inherited-provisional from the unfinished Phase 1/2 freeze story.",output/phase4/CASE_MINDORO_RETRO_2023/phase4_shoreline_segments.csv;data_processed/grids/shoreline_segments.gpkg,Generated from the stored Phase 4 shoreline segment registry and canonical shoreline segment geometry.
